
INST_ID    BID END_TIME              ELAP   DB_CPU_S  DB_TIME_S IOR_M IOW_M  REDO_K    L_READS   BLK_CHGS  PHY_READS PHY_WRITES U_CALLS  SOFT_P HARD_P LOGONS   EXECS COMMITS  RBS
------- ------ -------------------- ----- ---------- ---------- ----- ----- ------- ---------- ---------- ---------- ---------- ------- ------- ------ ------ ------- ------- ----
      1      1 2_210618-1900           60        .08         .6     3     9    4159      18101      23770        317        505       0       1      0      0       2       0    0
      1      2 3_210618-2000           60          0          0     0     1     245       1601       1553         34         43       0       1      0      0       1       0    0
      1      3 4_210618-2100           60          0          0     0     0       0          3          1          0          0       0       0      0      0       1       0    0
      1      6 7_210619-0000           60        .08        .14     4     8    3639      17866      19465        555        494       0       1      0      0       3       0    0
      1      7 8_210619-0100           60          0          0     0     0       1          6          2          0          0       0       1      0      0       1       0    0
      1      8 9_210619-0200           60          0          0     0     0       0          3          1          0          0       0       0      0      0       1       0    0
      1      9 10_210619-0300          61          0          0     0     0       0          4          1          0          0       0       0      0      0       1       0    0
      1     10 11_210619-0400          60          0          0     0     0       3         93         19          0          1       0       4      0      0      11       0    0
      1     11 12_210619-0500          60          0          0     0     0       0          4          1          0          0       0       0      0      0       1       0    0
      1     12 13_210619-0600          60          0          0     0     0       0        125          2          0          0       0       1      0      0       2       0    0
      1     13 14_210619-0700          61        .01        .06     1     0       4       1150         26        144          1       0       5      1      0      18       0    0
      1     14 15_210619-0800          60          0          0     0     0       1          8          4          0          0       0       1      0      0       1       0    0
      1     15 16_210619-0900          60          0          0     0     0       0          5          1          0          0       0       0      0      0       1       0    0
      1     16 17_210619-1000          60          0          0     0     0       0          3          1          0          0       0       0      0      0       1       0    0
      1     17 18_210619-1100          60          0        .01     0     0       4        269         28          2          1       0       3      0      0      21       0    0
      1     18 19_210619-1200          61        .01        .02     1     0      22        734         27        103          3       1       2      0      0       5       0    0
      1     19 20_210619-1300          59          0          0     0     0       1         12          5          0          0       0       1      0      0       2       0    0

17 rows selected.

Elapsed: 00:00:00.08
